ID,sentence,Usage
1,She was a true visionary.,Public
2,I go to my school daily.,Public
3,You are a waster of time.,Public
4,She had impressed him with her vivacity.,Public
5,Nobody know whence he has come.,Public
6,These are some verities of human nature.,Public
7,They have to be tendentious and have real purpose.,Public
8,How could you let him wander off like that?,Public
9,This is a lock of hair.,Public
10,He has great values.,Public
11,She looked beautiful in pink cape.,Public
12,She has a room with a single bed.,Public
13,Where's the nearest post office?,Public
14,The vitrine of his room was beautiful.,Public
15,I assure you that the work will be done.,Public
16,That rule is no longer in operation.,Public
17,It`s high time to update our thinking on women`s issues.,Public
18,"The kidnappers exacted a ransom of Rs 2,00,000 from her family.",Public
19,The stork is starting to move.,Public
20,He had a force in the city.,Public
21,She is five feet tall.,Public
22,I tried my level best to win the match.,Public
23,She didn`t want to come.,Public
24,The family property was portioned.,Public
25,"Minister her properly, she's the future queen.",Public
26,The doctors removed his bladder.,Public
27,She treats the horse cruelly.,Public
28,He flew from the city.,Public
29,His character was witty and waggish.,Public
30,Students have to vacate the hostel.,Public
31,He sired an offspring who was male.,Public
32,He has a perfect swing.,Public
33,The troubleshooter is unable to determine the problem.,Public
34,He crosses wide avenues before entering the forest.,Public
35,There are five major types of volcanic activity.,Public
36,He is trying to prove his point.,Public
37,Please keep your bathroom hygienic.,Public
38,"Before going to school, polish your shoes properly.",Public
39,They must apply dressing on the wounds first.,Public
40,Her biggest strength is her perceptiveness.,Public
41,I have worked out an arrangement with the authorities to work at home.,Public
42,At present he`s working abroad.,Public
43,Mill the wheat properly.,Public
44,Don't needle that boy.,Public
45,I couldn't hear what they were saying because they were whispering.,Public
46,They presented their demands vociferously.,Public
47,The film's sound and picture need to be in sync.,Public
48,Her colour is white.,Public
49,We found a turtle in the garden.,Public
50,We are quartered in a beautiful villa.,Public
51,"I wasn't just disappointed, I was absolutely shattered.",Public
52,She weathered the crisis well.,Public
53,We may need to carry extra stuff too.,Public
54,I have got a fantastic idea.,Public
55,Grease the pan with oil.,Public
56,The people of the village were delighted at the arrival of the leader.,Public
57,Some are concerned that the increase in taxes will weaken the economy.,Public
58,All of them are very poor.,Public
59,A weir was built across the river to control the flow of water .,Public
60,His mother kept a watchful eye on him.,Public
61,It was tough for the army to fight a determined enemy.,Public
62,The kids are like the flowers in the family.,Public
63,Prince Edward`s marriage was viewed by thousands of people.,Public
64,The floor of the house is to be kept clean.,Public
65,He paid the carriage to the driver.,Public
66,I have an access to on-line Library.,Public
67,The army crossed the river during the night time.,Public
68,The teacher's statement was furious.,Public
69,This new adhesive can bond metal to glass.,Public
70,He got free tickets for the magic show.,Public
71,He is a good bowler.,Public
72,He worked from morning till evening.,Public
73,Books are printed in the printing press.,Public
74,She likes your confidence and tenacity.,Public
75,I was very disappointed with my examination result.,Public
76,The weather remained good fortunately.,Public
77,She has a passion for music.,Public
78,He is a loyal supporter of the party.,Public
79,It is expected that she will pay occassional visits to this place.,Public
80,Their boat drifted out into the river.,Public
81,Be careful what you say because he's touchy.,Public
82,"He is the lord of this area, so everybody has to obey him.",Public
83,His attire is somewhat threadbare.,Public
84,He took arts as course in graduation.,Public
85,My throat was dry so I took a sip of water.,Public
86,It's an art to lie.,Public
87,Pleasant memories live longer.,Public
88,The doctor arrived on the given time.,Public
89,Our only concern is the children's welfare.,Public
90,The soldiers were asked to be present on the ground for the drill.,Public
91,He wants to earn more and more profit.,Public
92,They tried to patch the leaking roof.,Public
93,She expressed her feelings very clearly.,Public
94,Hold on to me tight.,Public
95,I have twenty pounds in my pocket.,Public
96,All India oriental conference is going on.,Public
97,There is a no connection between these two incidents.,Public
98,Wipe the floor.,Public
99,I go to school everyday.,Public
100,The critics noticed the books and reviewed.,Public
101,It is a feast for muslims today.,Public
102,We need some crude oil.,Public
103,We'll vouch for him.,Public
104,Practice what you preach.,Public
105,Apparently they have left the city for some time.,Public
106,The thief was surrounded by police.,Public
107,He studied theology at college.,Public
108,These oranges have natural sweetness.,Public
109,He gave us a bright idea.,Public
110,The bird is piping a song on the tree.,Public
111,How far is the post-office from here?,Public
112,His links with the organization turned out to be tenuous.,Public
113,He is a watchman in this building.,Public
114,"Due to the defect in control panel, the aircraft has to land in midway.",Public
115,There is a tutor to teach the children while they're in hospital.,Public
116,The grass was wet.,Public
117,There are white ants in the cupboard.,Public
118,They brought breakfast to the room on a trolley.,Public
119,It would be foolish to believe such rumours.,Public
120,He saw a deer in the zoo.,Public
121,"May I carry your bag, madam?",Public
122,He was tired and vexed.,Public
123,He has whipped himself into panic.,Public
124,There was a display of firework on Republic Day.,Public
125,"Don't worry, everything will be alright.",Public
126,From where did she get the biro?,Public
127,The house is surrounded by plants.,Public
128,Poor health can be a barrier to success.,Public
129,Grades B and above are considered satisfactory.,Public
130,He is being disliked by everyone for his ungratefulness.,Public
131,She bought fancies on her birthday.,Public
132,The armour of these vehicles is quite protective.,Public
133,She always speaks to him in a loud voice.,Public
134,How can I reach the airfield.,Public
135,There was a decrease in the speed of train near the station.,Public
136,What kind of nut would leave a car on a railway track?,Public
137,I like your tie.,Public
138,She may arrive any day.,Public
139,He occupies a senior position in the firm.,Public
140,A rope was tied around a rock nearby.,Public
141,We need to look at the annual reports of last one decade.,Public
142,They thrust him into the back of a car.,Public
143,The temple is a good place for worship.,Public
144,Is the art museum open on all days?,Public
145,The aim of the terrorists is to terrify people!,Public
146,The theft took place in the broad day light.,Public
147,Police used a truncheon to beat the culprit.,Public
148,A dense population of trees framed the hut.,Public
149,The police collected clues in order to piece together the details of murder case.,Public
150,A reporter voiced the story.,Public
